City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,biak,ID,-0.9131,122.8766,81.43,71,100,3.56,overcast clouds
1,rikitea,PF,-23.1203,-134.9692,78.73,77,84,14.65,broken clouds
2,bredasdorp,ZA,-34.5322,20.0403,72.84,63,100,5.55,overcast clouds
3,rawson,AR,-43.3002,-65.1023,61.05,89,100,8.95,light rain
4,whitehorse,CA,60.7161,-135.0538,7.57,85,75,16.11,broken clouds
5,dikson,RU,73.5069,80.5464,-24.12,98,100,5.97,overcast clouds
6,bathurst,AU,-33.4166,149.5806,92.71,38,59,5.7,broken clouds
7,punta arenas,CL,-53.15,-70.9167,44.71,93,40,6.91,scattered clouds
8,ixtapa,MX,20.7,-105.2,69.22,84,1,1.01,clear sky
9,salalah,OM,17.0151,54.0924,78.89,61,0,2.3,clear sky
10,avarua,CK,-21.2078,-159.775,78.85,94,100,5.75,light rain
11,albany,US,42.6001,-73.9662,23.72,75,18,4.07,few clouds
12,batagay-alyta,RU,67.8006,130.4114,-36.44,99,95,1.52,overcast clouds
13,georgetown,MY,5.4112,100.3354,89.53,70,20,9.22,few clouds
14,osmena,PH,10.5208,119.9258,80.26,76,100,5.77,moderate rain
15,westport,US,41.1415,-73.3579,37.56,63,100,8.05,overcast clouds
16,mehamn,NO,71.0357,27.8492,26.55,74,0,13.8,clear sky
17,cape town,ZA,-33.9258,18.4232,74.12,67,0,4.61,clear sky
18,taltal,CL,-25.4,-70.4833,67.1,80,12,1.74,few clouds
19,along,IN,28.1667,94.7667,74.88,28,0,1.97,clear sky
20,atuona,PF,-9.8,-139.0333,78.49,75,14,13.35,few clouds
21,iqaluit,CA,63.7506,-68.5145,-20.47,76,0,13.8,clear sky
22,alofi,NU,-19.0595,-169.9187,76.89,94,100,8.05,overcast clouds
23,bushehr,IR,28.9684,50.8385,55.49,82,40,13.8,mist
24,mount isa,AU,-20.7333,139.5,92.97,49,40,8.05,scattered clouds
25,bluff,NZ,-46.6,168.3333,56.62,72,92,1.92,overcast clouds
26,ushuaia,AR,-54.8,-68.3,47.86,87,75,11.5,broken clouds
27,jalu,LY,29.0331,21.5482,56.97,72,1,11.34,clear sky
28,hermanus,ZA,-34.4187,19.2345,76.8,66,81,1.72,broken clouds
29,hovd,MN,48.0056,91.6419,26.38,45,2,11.86,clear sky
30,radomsko,PL,51.0671,19.4448,37.51,93,100,7.07,overcast clouds
31,saskylakh,RU,71.9167,114.0833,-50.55,100,95,2.73,overcast clouds
32,tutoia,BR,-2.7619,-42.2744,79.61,76,62,12.26,broken clouds
33,codrington,AU,-38.2667,141.9667,70.72,61,100,11.25,overcast clouds
34,sarangani,PH,5.4033,125.4636,80.29,82,100,20.69,overcast clouds
35,talnakh,RU,69.4865,88.3972,-22.11,98,100,5.08,overcast clouds
36,hokitika,NZ,-42.7167,170.9667,69.35,74,3,5.55,clear sky
37,chimichagua,CO,9.2578,-73.8123,71.6,98,95,1.14,overcast clouds
38,praia da vitoria,PT,38.7333,-27.0667,58.75,82,75,13.4,broken clouds
39,new norfolk,AU,-42.7826,147.0587,81.91,30,93,1.99,overcast clouds
40,ust-kuyga,RU,70.0167,135.6,-57.33,100,99,5.46,overcast clouds
41,conakry,GN,9.538,-13.6773,73.47,83,2,2.3,mist
42,ust-maya,RU,60.4167,134.5333,-26.41,100,99,0.27,overcast clouds
43,cap malheureux,MU,-19.9842,57.6142,82.47,67,7,8.99,clear sky
44,leningradskiy,RU,69.3833,178.4167,-19.77,97,48,8.32,scattered clouds
45,victoria,HK,22.2855,114.1577,69.85,85,100,1.01,overcast clouds
46,saint-pierre,RE,-21.3393,55.4781,85.91,62,0,10.36,light rain
47,vao,NC,-22.6667,167.4833,76.59,65,14,12.53,few clouds
48,airai,TL,-8.9266,125.4092,67.24,83,89,2.66,moderate rain
49,beringovskiy,RU,63.05,179.3167,-8.0,92,9,10.98,clear sky
50,jamestown,US,42.097,-79.2353,31.17,75,100,1.99,mist
51,saldanha,ZA,-33.0117,17.9442,66.25,75,100,9.78,overcast clouds
52,middle island,US,40.8843,-72.9373,37.83,67,100,8.05,overcast clouds
53,carnarvon,AU,-24.8667,113.6333,81.0,51,0,19.01,clear sky
54,lavrentiya,RU,65.5833,-171.0,-12.26,85,97,12.68,overcast clouds
55,wollongong,AU,-34.4333,150.8833,79.99,72,50,9.1,scattered clouds
56,gao,ML,16.6362,1.637,55.6,27,1,14.27,clear sky
57,yellowknife,CA,62.456,-114.3525,7.32,85,100,5.75,overcast clouds
58,ilulissat,GL,69.2167,-51.1,-13.14,98,99,5.01,overcast clouds
59,santa lucia,ES,27.9117,-15.5407,60.12,83,75,16.11,broken clouds
60,hilo,US,19.7297,-155.09,75.27,82,100,3.44,overcast clouds
61,puerto escondido,MX,15.85,-97.0667,75.11,75,5,4.63,clear sky
62,busselton,AU,-33.65,115.3333,77.43,45,0,19.48,clear sky
63,tuktoyaktuk,CA,69.4541,-133.0374,-25.6,75,100,2.3,overcast clouds
64,provideniya,RU,64.3833,-173.3,-6.45,91,15,8.14,few clouds
65,lebu,CL,-37.6167,-73.65,52.32,75,0,18.12,clear sky
66,tasiilaq,GL,65.6145,-37.6368,2.16,54,100,4.43,overcast clouds
67,vaini,TO,-21.2,-175.2,84.36,89,75,5.75,light rain
68,arraial do cabo,BR,-22.9661,-42.0278,74.3,94,100,15.79,overcast clouds
69,puerto ayora,EC,-0.7393,-90.3518,69.55,93,6,1.01,clear sky
70,diapaga,BF,12.0708,1.7889,65.35,24,0,8.7,clear sky
71,adrar,MR,20.5022,-10.0711,58.48,14,100,11.54,overcast clouds
72,cherskiy,RU,68.75,161.3,-28.46,99,100,2.71,overcast clouds
73,qaanaaq,GL,77.484,-69.3632,-13.29,98,100,3.65,overcast clouds
74,torbay,CA,47.6666,-52.7314,24.58,89,100,4.61,light shower snow
75,samaipata,BO,-18.15,-63.8667,52.07,99,41,2.98,scattered clouds
76,bansang,GM,13.4333,-14.65,72.77,12,12,8.86,few clouds
77,mildura,AU,-34.2,142.15,100.08,18,25,8.68,scattered clouds
78,kaitangata,NZ,-46.2817,169.8464,57.22,68,2,9.13,clear sky
79,aliwal north,ZA,-30.6937,26.7114,86.76,18,5,9.98,clear sky
80,gwadar,PK,25.1216,62.3254,75.38,69,35,7.61,light rain
81,tokur,RU,53.1333,132.9,4.93,95,100,1.9,overcast clouds
82,castanos,MX,26.7833,-101.4167,66.34,34,0,5.1,clear sky
83,hasaki,JP,35.7333,140.8333,50.4,38,100,2.33,overcast clouds
84,fortuna,US,40.5982,-124.1573,47.93,95,100,13.8,overcast clouds
85,makakilo city,US,21.3469,-158.0858,73.72,73,0,4.61,clear sky
86,teseney,ER,15.11,36.6575,72.97,58,4,8.32,clear sky
87,george town,MY,5.4112,100.3354,89.53,70,20,9.22,few clouds
88,nikolskoye,RU,59.7035,30.7861,28.29,90,98,10.94,overcast clouds
89,severo-kurilsk,RU,50.6789,156.125,20.21,67,80,22.91,broken clouds
90,hobart,AU,-42.8794,147.3294,82.27,53,20,10.36,few clouds
91,asau,RO,46.4333,26.4,34.72,97,100,5.01,overcast clouds
92,eltham,NZ,-39.4292,174.3,60.96,99,100,12.97,overcast clouds
93,ostrovnoy,RU,68.0531,39.5131,17.26,90,100,21.61,light snow
94,lamar,US,33.6668,-95.5836,62.89,80,0,13.8,clear sky
95,souillac,MU,-20.5167,57.5167,84.58,65,40,13.8,scattered clouds
96,surt,LY,31.2089,16.5887,58.82,64,47,21.77,light rain
97,comodoro rivadavia,AR,-45.8667,-67.5,49.86,93,75,13.8,light intensity drizzle rain
98,kavieng,PG,-2.5744,150.7967,82.78,73,100,2.17,light rain
99,mataura,NZ,-46.1927,168.8643,58.62,63,62,5.79,broken clouds
100,barcelona,ES,41.3888,2.159,53.47,74,20,10.36,few clouds
101,dunedin,NZ,-45.8742,170.5036,54.16,81,50,12.21,scattered clouds
102,hobyo,SO,5.3505,48.5268,81.01,62,6,18.25,clear sky
103,vigrestad,NO,58.5667,5.7,47.88,75,77,19.44,broken clouds
104,saint george,US,37.1041,-113.5841,46.94,69,100,6.91,overcast clouds
105,port alfred,ZA,-33.5906,26.891,78.19,84,25,4.85,scattered clouds
106,arlit,NE,18.7369,7.3853,56.41,23,0,6.82,clear sky
107,clyde river,CA,70.4692,-68.5914,-18.17,76,40,5.75,scattered clouds
108,pevek,RU,69.7008,170.3133,-21.37,100,99,4.25,overcast clouds
109,faanui,PF,-16.4833,-151.75,79.95,75,100,15.05,moderate rain
110,esperance,AU,-33.8667,121.9,71.04,78,23,18.23,few clouds
111,gat,IL,31.61,34.7642,60.78,100,34,4.56,scattered clouds
112,nanakuli,US,21.3906,-158.1547,75.15,71,12,8.57,few clouds
113,cayenne,GF,4.9333,-52.3333,75.24,94,75,2.3,broken clouds
114,kapaa,US,22.0752,-159.319,72.1,73,0,6.91,clear sky
115,lompoc,US,34.6391,-120.4579,52.84,88,85,1.01,overcast clouds
116,butaritari,KI,3.0707,172.7902,81.41,75,7,15.05,clear sky
117,castro,BR,-24.7911,-50.0119,60.82,98,100,2.04,overcast clouds
118,shunyi,CN,40.125,116.6453,37.35,38,0,2.24,clear sky
119,tiksi,RU,71.6872,128.8694,-41.48,100,94,2.84,overcast clouds
120,raton,US,36.9034,-104.4391,39.42,38,97,12.64,overcast clouds
121,dombarovskiy,RU,50.7587,59.5386,-7.17,85,15,4.85,few clouds
122,abha,SA,18.2164,42.5053,58.82,67,0,0.0,clear sky
123,birao,CF,10.2849,22.7882,69.39,22,7,13.29,clear sky
124,henties bay,NA,-22.116,14.2845,65.89,84,100,6.49,overcast clouds
125,east london,ZA,-33.0153,27.9116,74.34,94,75,1.14,broken clouds
126,giaginskaya,RU,44.8621,40.0719,27.41,56,7,18.66,clear sky
127,san patricio,US,28.017,-97.5169,69.66,91,0,10.69,clear sky
128,chenghai,CN,23.4632,116.768,67.91,73,75,6.71,broken clouds
129,saint-francois,FR,46.4154,3.9054,49.44,76,100,10.36,overcast clouds
130,rantauprapat,ID,2.1,99.8333,78.62,88,100,0.58,overcast clouds
131,bratsk,RU,56.1325,101.6142,-12.51,82,96,5.37,overcast clouds
132,chokurdakh,RU,70.6333,147.9167,-50.46,100,87,1.79,overcast clouds
133,kaseda,JP,31.4167,130.3167,60.94,57,10,5.37,clear sky
134,bethel,US,41.3712,-73.414,34.48,68,100,1.99,overcast clouds
135,upernavik,GL,72.7868,-56.1549,-23.1,97,17,5.88,few clouds
136,tura,IN,25.5198,90.2201,75.52,34,0,3.49,clear sky
137,acurenam,GQ,1.0322,10.6488,71.24,89,86,3.33,light rain
138,aloleng,PH,16.1307,119.7824,82.0,60,85,5.95,overcast clouds
139,lazarev,RU,52.225,141.5131,-8.03,99,14,2.37,few clouds
140,callaguip,PH,18.0714,120.4867,86.02,58,40,9.22,scattered clouds
141,llangefni,GB,53.2556,-4.3106,47.98,67,75,28.77,broken clouds
142,lakatoro,VU,-16.0999,167.4164,78.44,72,100,4.12,overcast clouds
143,mar del plata,AR,-38.0023,-57.5575,69.1,93,0,11.01,clear sky
144,safaga,EG,26.7292,33.9365,64.9,56,0,8.1,clear sky
145,port lincoln,AU,-34.7333,135.8667,73.06,53,1,15.48,clear sky
146,bambous virieux,MU,-20.3428,57.7575,84.45,65,40,13.8,light rain
147,bay saint louis,US,30.3088,-89.33,62.67,94,10,8.03,clear sky
148,taoudenni,ML,22.6783,-3.9836,61.41,14,100,9.24,overcast clouds
149,barrow,US,71.2906,-156.7887,-14.78,84,20,20.71,haze
150,yeppoon,AU,-23.1333,150.7333,76.78,81,100,12.1,light rain
151,vestmannaeyjar,IS,63.4427,-20.2734,35.87,67,100,7.02,overcast clouds
152,russell,US,32.3502,-85.1999,49.01,81,32,3.33,scattered clouds
153,nawa,IN,27.0167,75.0,76.24,21,6,9.66,clear sky
154,omidiyeh,IR,30.7597,49.705,48.07,100,100,9.22,fog
155,ribeira grande,PT,38.5167,-28.7,59.77,66,45,17.0,scattered clouds
156,susehri,TR,40.1644,38.0867,32.11,45,2,4.41,clear sky
157,ahipara,NZ,-35.1667,173.1667,66.09,86,2,14.2,clear sky
158,manta,EC,-0.95,-80.7333,76.78,73,20,3.44,few clouds
159,mendoza,AR,-32.8908,-68.8272,72.93,49,20,3.44,few clouds
160,labuan,MY,5.2767,115.2417,84.56,74,20,3.44,light rain
161,san rafael del sur,NI,11.8485,-86.4384,76.17,73,4,14.61,clear sky
162,fonte boa,BR,-2.4959,-66.2662,72.9,94,100,2.57,overcast clouds
163,ancud,CL,-41.8697,-73.8203,46.63,82,0,3.69,clear sky
164,yerofey pavlovich,RU,53.9667,121.9667,8.04,97,100,2.13,overcast clouds
165,ballybofey,IE,54.8,-7.7833,42.55,80,32,19.15,heavy intensity rain
166,tahta,EG,26.7693,31.5021,59.13,44,0,3.42,clear sky
167,carnduff,CA,49.1667,-101.8009,15.39,94,100,6.53,overcast clouds
168,isangel,VU,-19.55,169.2667,79.29,70,21,3.09,few clouds
169,chuy,UY,-33.6971,-53.4616,67.42,92,99,3.44,light rain
170,albury,AU,-36.0833,146.9167,97.32,17,0,2.68,clear sky
171,brus laguna,HN,15.75,-84.4833,69.44,96,41,0.78,light rain
172,namibe,AO,-15.1961,12.1522,71.85,72,100,9.57,overcast clouds
173,luau,AO,-10.7073,22.2247,64.62,98,100,4.0,light rain
174,charkhi dadri,IN,28.6,76.2667,69.76,33,100,3.56,overcast clouds
175,kahului,US,20.8947,-156.47,73.85,81,7,3.0,clear sky
176,meulaboh,ID,4.1363,96.1285,83.68,67,57,6.33,broken clouds
177,clovis,US,36.8252,-119.7029,48.85,86,95,8.43,overcast clouds
178,murgab,TM,37.4966,61.9714,12.07,79,0,9.22,clear sky
179,ambilobe,MG,-13.2,49.05,87.17,61,48,1.79,scattered clouds
180,udachnyy,RU,66.4167,112.4,-39.57,96,100,6.04,overcast clouds
181,te anau,NZ,-45.4167,167.7167,61.66,55,15,6.69,few clouds
182,khatanga,RU,71.9667,102.5,-35.63,99,100,6.69,overcast clouds
183,altay,CN,47.8667,88.1167,10.06,78,100,5.28,overcast clouds
184,irbeyskoye,RU,55.6428,95.4522,-3.53,89,100,9.89,overcast clouds
185,port elizabeth,ZA,-33.918,25.5701,81.1,80,75,4.0,broken clouds
186,port hedland,AU,-20.3167,118.5667,89.65,62,17,12.66,few clouds
187,guerrero negro,MX,27.9769,-114.0611,60.48,92,14,11.92,few clouds
188,de-kastri,RU,51.4667,140.7833,-2.13,98,13,3.02,few clouds
189,burns lake,CA,54.2331,-125.7533,29.62,99,100,1.7,overcast clouds
190,caravelas,BR,-17.7125,-39.2481,73.62,93,100,4.32,overcast clouds
191,vestmanna,FO,62.1564,-7.1664,40.12,81,100,13.8,light intensity drizzle rain
192,thompson,CA,55.7435,-97.8558,8.76,85,100,6.91,light snow
193,constitucion,CL,-35.3333,-72.4167,57.4,53,0,7.45,clear sky
194,pokhara,NP,28.2333,83.9833,67.86,21,0,6.53,clear sky
195,morrinhos,BR,-17.7311,-49.0994,65.93,96,92,1.52,overcast clouds
196,homer,US,59.6425,-151.5483,36.03,88,100,8.99,light rain
197,darfo,IT,45.8779,10.1812,44.13,52,100,4.34,overcast clouds
198,shimoda,JP,34.6667,138.95,52.16,72,56,2.8,broken clouds
199,cidreira,BR,-30.1811,-50.2056,69.93,95,26,6.44,scattered clouds
200,nuevitas,CU,21.5453,-77.2644,72.1,79,0,4.72,clear sky
201,obo,CF,5.3998,26.4869,78.31,22,100,9.66,overcast clouds
202,nizhneudinsk,RU,54.9076,99.0276,-1.17,83,100,2.19,overcast clouds
203,itoman,JP,26.1247,127.6694,73.42,60,40,17.27,scattered clouds
204,emborion,GR,40.4833,21.55,35.26,86,18,3.96,few clouds
205,juneau,US,58.3019,-134.4197,33.22,100,100,6.17,overcast clouds
206,aklavik,CA,68.2191,-135.0107,-26.14,100,100,3.09,overcast clouds
207,kurilsk,RU,45.2333,147.8833,23.22,68,97,11.77,overcast clouds
208,riverton,US,40.5219,-111.9391,37.9,91,100,4.0,snow
209,huarmey,PE,-10.0681,-78.1522,69.1,79,100,7.02,overcast clouds
210,mitsamiouli,KM,-11.3847,43.2844,86.29,66,20,6.91,few clouds
211,naples,IT,40.8333,14.25,51.85,65,0,6.91,clear sky
212,kodiak,US,57.79,-152.4072,33.94,83,23,4.34,few clouds
213,simao,CN,22.7886,100.9748,71.4,35,4,5.93,clear sky
214,buin,CL,-33.7333,-70.75,71.11,74,0,1.57,clear sky
215,la crosse,US,43.8014,-91.2396,27.91,94,100,1.01,mist
216,tazovskiy,RU,67.4667,78.7,-40.14,98,41,6.42,scattered clouds
217,nenjiang,CN,49.1833,125.2167,15.19,95,6,4.23,clear sky
218,yulara,AU,-25.2406,130.9889,94.66,28,99,13.42,overcast clouds
219,bonfim,BR,3.0833,-59.95,74.79,85,74,6.31,broken clouds
220,los llanos de aridane,ES,28.6585,-17.9182,61.12,81,75,9.22,broken clouds
221,borger,NL,52.9233,6.7931,51.87,94,100,12.01,overcast clouds
222,cabo san lucas,MX,22.8909,-109.9124,70.52,69,0,12.48,clear sky
223,katsina,NG,12.9894,7.6006,55.29,41,0,6.91,haze
224,sadovo,BG,42.1333,24.9333,43.12,70,100,10.36,overcast clouds
225,olafsvik,IS,64.8945,-23.7142,32.85,77,99,22.73,overcast clouds
226,tilichiki,RU,60.4667,166.1,12.74,91,100,7.18,overcast clouds
227,port blair,IN,11.6667,92.75,84.24,54,20,11.5,few clouds
228,belmonte,BR,-15.8631,-38.8828,75.22,87,100,5.28,overcast clouds
229,nago,JP,26.5881,127.9761,66.94,71,100,14.88,overcast clouds
230,emerald,AU,-23.5333,148.1667,87.19,50,57,20.0,light rain
